lot_id,rank_div,price,winrate,winrate_status,first_seen,last_seen,sold,sold_duration_h
34323302,gold_?,3376,,missing,2026-02-16 06:17:36.107741,2026-02-17 14:31:33.654701,True,32.23265193333334
64186296,platinum_2,1802,,missing,2026-02-16 06:17:36.107741,2026-02-16 10:14:39.655847,True,3.950985585
42882289,platinum_1,4261,,missing,2026-02-16 06:17:36.107741,2026-02-17 17:44:48.243009,False,
52343320,gold_?,26436,,missing,2026-02-16 06:17:36.107741,2026-02-17 17:44:48.243009,False,
63929498,gold_?,16550,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
55334069,gold_?,14977,,missing,2026-02-16 06:17:36.107741,2026-02-17 16:36:42.273252,True,34.318379308611114
42891472,platinum_4,3409,32.0,parsed,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
62963419,emerald_1,17729,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
61327551,emerald_?,14930,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
60916178,gold_1,1493,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
59456319,platinum_?,13064,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
61201023,gold_3,4807,,missing,2026-02-16 06:17:36.107741,2026-02-17 13:23:31.616538,True,31.09875244361111
63927190,platinum_?,2163,71.0,parsed,2026-02-16 06:17:36.107741,2026-02-17 16:36:42.273252,True,34.318379308611114
61314775,emerald_4,3004,,missing,2026-02-16 06:17:36.107741,2026-02-17 16:36:42.273252,True,34.318379308611114
29109922,emerald_?,2814,,missing,2026-02-16 06:17:36.107741,2026-02-17 11:10:35.907874,True,28.88327781472222
29109917,platinum_?,1522,,missing,2026-02-16 06:17:36.107741,2026-02-17 11:10:35.907874,True,28.88327781472222
27938595,gold_?,1442,,missing,2026-02-16 06:17:36.107741,2026-02-17 11:10:35.907874,True,28.88327781472222
59778100,platinum_?,12610,,missing,2026-02-16 06:17:36.107741,2026-02-17 16:36:42.273252,True,34.318379308611114
39856223,platinum_2,2403,,missing,2026-02-16 06:17:36.107741,2026-02-16 20:51:36.069208,True,14.566655963055556
63767003,emerald_4,3326,16.0,parsed,2026-02-16 06:17:36.107741,2026-02-17 14:31:33.654701,True,32.23265193333334
62531840,emerald_?,1663,80.0,parsed,2026-02-16 06:17:36.107741,2026-02-17 14:31:33.654701,True,32.23265193333334
29256810,gold_?,18024,,missing,2026-02-16 06:17:36.107741,2026-02-17 16:36:42.273252,True,34.318379308611114
61400822,platinum_?,7210,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
61400819,gold_?,9613,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
39619739,gold_4,30,,missing,2026-02-16 06:17:36.107741,2026-02-16 20:51:36.069208,True,14.566655963055556
7279105,emerald_1,6008,,missing,2026-02-16 06:17:36.107741,2026-02-17 13:23:31.616538,True,31.09875244361111
54253700,emerald_3,1911,,missing,2026-02-16 06:17:36.107741,2026-02-17 13:23:31.616538,True,31.09875244361111
62112900,gold_?,40000,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
38011055,gold_?,1502,,missing,2026-02-16 06:17:36.107741,2026-02-16 06:17:36.107741,True,0.0
40837638,emerald_4,14042,,missing,2026-02-16 06:17:36.107741,2026-02-17 08:02:20.137706,True,25.745563879166664
40836969,emerald_4,7489,,missing,2026-02-16 06:17:36.107741,2026-02-17 08:02:20.137706,True,25.745563879166664
27691548,platinum_?,7490,,missing,2026-02-16 06:17:36.107741,2026-02-16 20:51:36.069208,True,14.566655963055556
63842842,gold_?,2764,,missing,2026-02-16 06:17:36.107741,2026-02-16 06:17:36.107741,True,0.0
64141154,platinum_?,44460,,missing,2026-02-16 06:17:36.107741,2026-02-16 06:17:36.107741,True,0.0
63272184,platinum_?,1442,,missing,2026-02-16 06:17:36.107741,2026-02-17 11:10:35.907874,True,28.88327781472222
62038158,emerald_?,4807,,missing,2026-02-16 06:17:36.107741,2026-02-16 06:17:36.107741,True,0.0
23855140,gold_?,35848,,missing,2026-02-16 06:17:36.107741,2026-02-17 15:31:38.682072,True,33.23404842527778
